week,region,mean_BT,min_BT,max_BT,week_start_date
1,North America,248.4129425048828,213.74102783203125,259.7213134765625,2025-01-01
1,South America,246.09393920898438,192.1480865478516,263.1507873535156,2025-01-01
1,Tropics,243.15673828125,181.6903381347656,266.707275390625,2025-01-01
1,Western Hemisphere,243.36535034179687,189.81944274902344,263.489501953125,2025-01-01
2,North America,254.01000758579798,207.30548095703125,269.3746337890625,2025-01-08
2,South America,248.55860246930803,183.42623901367188,267.34234619140625,2025-01-08
2,Tropics,247.37520054408483,183.42623901367188,269.7133178710937,2025-01-08
2,Western Hemisphere,245.58199201311385,183.42623901367188,269.3746337890625,2025-01-08
3,North America,254.76477268763952,210.56561279296875,270.05206298828125,2025-01-15
3,South America,251.46671622140067,194.73077392578125,266.1991882324219,2025-01-15
3,Tropics,249.15197099958147,181.6903381347656,267.5540466308594,2025-01-15
3,Western Hemisphere,247.77778843470983,187.9141845703125,270.05206298828125,2025-01-15
4,North America,255.67589460100447,211.83578491210935,268.1044311523437,2025-01-22
4,South America,251.70759800502233,194.2227020263672,268.6972045898437,2025-01-22
4,Tropics,249.25870622907365,185.79722595214844,272.71942138671875,2025-01-22
4,Western Hemisphere,247.9014652797154,194.2227020263672,268.90887451171875,2025-01-22
5,North America,254.80152893066406,208.4486389160156,267.85040283203125,2025-01-29
5,South America,251.9884774344308,193.71463012695312,271.9996337890625,2025-01-29
5,Tropics,248.32671247209822,185.79722595214844,270.6871337890625,2025-01-29
5,Western Hemisphere,247.37334987095423,187.9141845703125,271.9996337890625,2025-01-29
6,North America,252.63078962053572,210.56561279296875,267.85040283203125,2025-02-05
6,South America,253.32913425990515,192.1480865478516,270.7718200683594,2025-02-05
6,Tropics,247.2327924455915,184.23068237304688,266.6225891113281,2025-02-05
6,Western Hemisphere,247.13150460379464,191.00494384765625,270.7718200683594,2025-02-05
7,North America,250.50399126325334,205.5272521972656,265.098388671875,2025-02-12
7,South America,249.3181915283203,194.2227020263672,267.6810607910156,2025-02-12
7,Tropics,244.91830226353235,183.42623901367188,269.0359191894531,2025-02-12
7,Western Hemisphere,244.11988612583704,189.18435668945312,267.6810607910156,2025-02-12
8,North America,251.15488760811942,208.7450256347656,263.9552307128906,2025-02-19
8,South America,246.83758980887276,186.5169982910156,263.2778015136719,2025-02-19
8,Tropics,245.333502633231,185.03512573242188,271.237548828125,2025-02-19
8,Western Hemisphere,244.49215480259485,186.5169982910156,266.8766174316406,2025-02-19
9,North America,252.26688711983817,192.1480865478516,266.0721740722656,2025-02-26
9,South America,250.35332598005022,187.9141845703125,267.89276123046875,2025-02-26
9,Tropics,246.35890633719308,181.6903381347656,270.85650634765625,2025-02-26
9,Western Hemisphere,246.4138663155692,185.03512573242188,267.89276123046875,2025-02-26
10,North America,252.790771484375,194.2227020263672,267.59637451171875,2025-03-05
10,South America,250.02493940080916,185.03512573242188,266.24151611328125,2025-03-05
10,Tropics,243.52388872419084,183.42623901367188,268.95123291015625,2025-03-05
